"","Location","TimeFrame","DataFormat","Child Poverty","Unemployment","Child","Total"
"1","Anderson",2011,"Number",3051,1980,11480,58727
"2","Andrews",2011,"Number",836,388,4451,15327
"3","Angelina",2011,"Number",6608,3114,23466,88214
"4","Aransas",2011,"Number",1674,881,4453,23334
"5","Archer",2011,"Number",340,295,2103,8913
"6","Armstrong",2011,"Number",67,49,411,1935
"7","Atascosa",2011,"Number",4144,1567,13115,46363
"8","Austin",2011,"Number",1415,1170,7077,28673
"9","Bailey",2011,"Number",632,243,2248,7264
"10","Bandera",2011,"Number",902,676,3943,20676
"11","Bastrop",2011,"Number",4345,2801,19725,75906
"12","Baylor",2011,"Number",244,113,759,3746
"13","Bee",2011,"Number",2478,1083,6992,32310
"14","Bell",2011,"Number",20447,10982,90813,317759
"15","Bexar",2011,"Number",119063,60889,473403,1756262
"16","Blanco",2011,"Number",471,314,2257,10672
"17","Borden",2011,"Number",21,21,128,646
"18","Bosque",2011,"Number",1053,705,4095,18356
"19","Bowie",2011,"Number",6190,3512,22403,93275
"20","Brazoria",2011,"Number",14645,13221,88460,319949
"21","Brazos",2011,"Number",9508,6398,41364,198311
"22","Brewster",2011,"Number",422,273,1903,9333
"23","Briscoe",2011,"Number",105,46,358,1652
"24","Brooks",2011,"Number",969,301,1988,7272
"25","Brown",2011,"Number",2692,1353,9092,38341
"26","Burleson",2011,"Number",1044,549,4078,17469
"27","Burnet",2011,"Number",2604,1424,9845,43348
"28","Caldwell",2011,"Number",2626,1425,9836,38583
"29","Calhoun",2011,"Number",1488,950,5581,21460
"30","Callahan",2011,"Number",789,437,3169,13516
"31","Cameron",2011,"Number",62449,19171,135505,414348
"32","Camp",2011,"Number",1148,517,3328,12467
"33","Carson",2011,"Number",197,164,1566,6281
"34","Cass",2011,"Number",1783,1443,6997,30401
"35","Castro",2011,"Number",789,207,2499,8120
"36","Chambers",2011,"Number",1365,1576,10060,35996
"37","Cherokee",2011,"Number",4242,1901,13234,51298
"38","Childress",2011,"Number",464,196,1497,7065
"39","Clay",2011,"Number",424,358,2398,10791
"40","Cochran",2011,"Number",289,124,882,3110
"41","Coke",2011,"Number",135,92,673,3320
"42","Coleman",2011,"Number",721,304,1945,8919
"43","Collin",2011,"Number",22661,30552,230052,812435
"44","Collingsworth",2011,"Number",312,76,842,3075
"45","Colorado",2011,"Number",1251,805,4910,20914
"46","Comal",2011,"Number",3993,3810,26053,112171
"47","Comanche",2011,"Number",1154,452,3317,13983
"48","Concho",2011,"Number",181,108,576,4138
"49","Cooke",2011,"Number",2255,1259,9759,38675
"50","Coryell",2011,"Number",4650,2280,21565,76313
"51","Cottle",2011,"Number",109,49,342,1518
"52","Crane",2011,"Number",191,129,1268,4409
"53","Crockett",2011,"Number",250,115,978,3734
"54","Crosby",2011,"Number",681,241,1705,6078
"55","Culberson",2011,"Number",249,71,649,2393
"56","Dallam",2011,"Number",458,174,2038,6868
"57","Dallas",2011,"Number",197527,98479,660730,2403579
"58","Dawson",2011,"Number",1059,440,3392,13849
"59","Deaf Smith",2011,"Number",1899,526,6249,19569
"60","Delta",2011,"Number",373,207,1152,5224
"61","Denton",2011,"Number",21436,26031,187429,686455
"62","DeWitt",2011,"Number",1258,656,4555,20574
"63","Dickens",2011,"Number",165,141,479,2441
"64","Dimmit",2011,"Number",1177,384,3074,10472
"65","Donley",2011,"Number",235,119,738,3686
"66","Duval",2011,"Number",1176,509,3046,11806
"67","Eastland",2011,"Number",1244,661,4135,18564
"68","Ector",2011,"Number",8537,4568,40252,139259
"69","Edwards",2011,"Number",152,69,411,2017
"70","El Paso",2011,"Number",82394,33682,242792,821525
"71","Ellis",2011,"Number",7596,6039,43490,153134
"72","Erath",2011,"Number",2164,1203,8589,38621
"73","Falls",2011,"Number",1328,654,3820,17899
"74","Fannin",2011,"Number",1982,1361,7498,34237
"75","Fayette",2011,"Number",1175,735,5480,25358
"76","Fisher",2011,"Number",182,129,848,3951
"77","Floyd",2011,"Number",584,254,1817,6445
"78","Foard",2011,"Number",70,50,272,1346
"79","Fort Bend",2011,"Number",21251,22039,177450,607995
"80","Franklin",2011,"Number",741,392,2591,10639
"81","Freestone",2011,"Number",976,660,4633,20022
"82","Frio",2011,"Number",1706,589,4237,17634
"83","Gaines",2011,"Number",1532,431,6207,17844
"84","Galveston",2011,"Number",15826,13466,74697,296345
"85","Garza",2011,"Number",375,187,1269,6537
"86","Gillespie",2011,"Number",1015,673,5043,25201
"87","Glasscock",2011,"Number",60,30,338,1242
"88","Goliad",2011,"Number",393,221,1605,7300
"89","Gonzales",2011,"Number",1995,587,5414,20157
"90","Gray",2011,"Number",1092,696,5655,22760
"91","Grayson",2011,"Number",6755,4871,29059,121800
"92","Gregg",2011,"Number",7987,4514,31279,123239
"93","Grimes",2011,"Number",1524,968,6060,27062
"94","Guadalupe",2011,"Number",5930,4388,37092,136116
"95","Hale",2011,"Number",3813,1271,10537,36664
"96","Hall",2011,"Number",349,126,864,3408
"97","Hamilton",2011,"Number",505,261,1813,8585
"98","Hansford",2011,"Number",335,126,1660,5623
"99","Hardeman",2011,"Number",318,130,995,4101
"100","Hardin",2011,"Number",2663,2608,14167,55492
"101","Harris",2011,"Number",334575,167760,1160048,4176764
"102","Harrison",2011,"Number",4262,2653,17130,66527
"103","Hartley",2011,"Number",162,146,1337,6075
"104","Haskell",2011,"Number",452,171,1211,5919
"105","Hays",2011,"Number",6829,5633,40183,163839
"106","Hemphill",2011,"Number",141,82,1122,3865
"107","Henderson",2011,"Number",4683,3049,17920,79194
"108","Hidalgo",2011,"Number",130291,38095,272381,798286
"109","Hill",2011,"Number",2391,1339,8603,35640
"110","Hockley",2011,"Number",1546,734,6162,23018
"111","Hood",2011,"Number",2126,1887,10928,52105
"112","Hopkins",2011,"Number",2823,1250,9026,35489
"113","Houston",2011,"Number",1599,935,4817,23752
"114","Howard",2011,"Number",2480,1023,7764,35172
"115","Hudspeth",2011,"Number",456,111,1007,3500
"116","Hunt",2011,"Number",5145,3409,21626,87214
"117","Hutchinson",2011,"Number",1144,792,5805,22190
"118","Irion",2011,"Number",62,48,357,1641
"119","Jack",2011,"Number",394,288,1965,9105
"120","Jackson",2011,"Number",805,474,3551,14110
"121","Jasper",2011,"Number",2531,1871,8842,35918
"122","Jeff Davis",2011,"Number",98,68,414,2387
"123","Jefferson",2011,"Number",17101,13614,60391,253151
"124","Jim Hogg",2011,"Number",540,203,1505,5318
"125","Jim Wells",2011,"Number",4464,1559,11933,41585
"126","Johnson",2011,"Number",8134,5599,41298,153383
"127","Jones",2011,"Number",1100,607,3714,20289
"128","Karnes",2011,"Number",953,464,2946,15000
"129","Kaufman",2011,"Number",5209,4168,29869,105343
"130","Kendall",2011,"Number",1222,1034,8187,34622
"131","Kenedy",2011,"Number",30,12,97,428
"132","Kent",2011,"Number",34,27,180,809
"133","Kerr",2011,"Number",2654,1497,9935,49914
"134","Kimble",2011,"Number",325,138,923,4642
"135","King",2011,"Number",6,12,63,288
"136","Kinney",2011,"Number",239,131,708,3670
"137","Kleberg",2011,"Number",2735,1218,8172,32190
"138","Knox",2011,"Number",321,110,913,3644
"139","La Salle",2011,"Number",630,245,1504,7071
"140","Lamar",2011,"Number",3609,2332,12123,50190
"141","Lamb",2011,"Number",1512,499,4073,14092
"142","Lampasas",2011,"Number",1316,704,4853,19928
"143","Lavaca",2011,"Number",837,587,4446,19567
"144","Lee",2011,"Number",838,597,4179,16680
"145","Leon",2011,"Number",1068,621,3776,17141
"146","Liberty",2011,"Number",5069,3440,19230,75923
"147","Limestone",2011,"Number",1854,836,5543,23716
"148","Lipscomb",2011,"Number",166,80,893,3351
"149","Live Oak",2011,"Number",632,341,2327,11721
"150","Llano",2011,"Number",847,642,3098,19501
"151","Loving",2011,"Number",5,4,9,83
"152","Lubbock",2011,"Number",17769,8918,69297,283151
"153","Lynn",2011,"Number",480,207,1597,5923
"154","Madison",2011,"Number",910,452,2974,13745
"155","Marion",2011,"Number",653,474,1973,10596
"156","Martin",2011,"Number",379,132,1412,4817
"157","Mason",2011,"Number",243,117,844,4055
"158","Matagorda",2011,"Number",2787,2085,9509,36838
"159","Maverick",2011,"Number",7801,3411,18269,55363
"160","McCulloch",2011,"Number",742,258,2013,8323
"161","McLennan",2011,"Number",19795,8601,60398,238338
"162","McMullen",2011,"Number",20,21,139,832
"163","Medina",2011,"Number",2975,1535,11707,46391
"164","Menard",2011,"Number",167,69,434,2270
"165","Midland",2011,"Number",7143,3689,38287,140462
"166","Milam",2011,"Number",2018,1072,6461,24915
"167","Mills",2011,"Number",306,143,1172,4969
"168","Mitchell",2011,"Number",504,280,1814,9439
"169","Montague",2011,"Number",1117,640,4512,19795
"170","Montgomery",2011,"Number",25492,16571,128191,471894
"171","Moore",2011,"Number",1678,572,6959,21995
"172","Morris",2011,"Number",898,715,2999,12964
"173","Motley",2011,"Number",68,40,250,1185
"174","Nacogdoches",2011,"Number",4898,2169,15470,65260
"175","Navarro",2011,"Number",3663,1944,12956,48304
"176","Newton",2011,"Number",975,814,3269,14523
"177","Nolan",2011,"Number",1265,529,3959,15303
"178","Nueces",2011,"Number",27865,13438,88744,346340
"179","Ochiltree",2011,"Number",644,247,3282,10377
"180","Oldham",2011,"Number",128,51,664,2079
"181","Orange",2011,"Number",4548,4641,20379,82033
"182","Palo Pinto",2011,"Number",1954,1073,6992,28295
"183","Panola",2011,"Number",1303,979,5848,24016
"184","Parker",2011,"Number",4678,4038,30072,119530
"185","Parmer",2011,"Number",706,237,3178,10338
"186","Pecos",2011,"Number",942,480,3804,15520
"187","Polk",2011,"Number",3099,1787,9536,45605
"188","Potter",2011,"Number",10874,3674,33936,122300
"189","Presidio",2011,"Number",793,582,2240,7901
"190","Rains",2011,"Number",680,438,2339,11065
"191","Randall",2011,"Number",4034,3418,30910,123899
"192","Reagan",2011,"Number",134,89,998,3388
"193","Real",2011,"Number",262,108,640,3387
"194","Red River",2011,"Number",898,695,2715,12839
"195","Reeves",2011,"Number",1180,524,3097,13832
"196","Refugio",2011,"Number",473,259,1737,7391
"197","Roberts",2011,"Number",31,25,238,934
"198","Robertson",2011,"Number",1350,646,4220,17021
"199","Rockwall",2011,"Number",2146,2880,23943,81204
"200","Runnels",2011,"Number",816,378,2623,10569
"201","Rusk",2011,"Number",2901,1864,12380,53806
"202","Sabine",2011,"Number",701,558,2071,10929
"203","San Augustine",2011,"Number",694,458,1838,8909
"204","San Jacinto",2011,"Number",2000,1071,6270,26785
"205","San Patricio",2011,"Number",5369,2789,18111,64974
"206","San Saba",2011,"Number",398,175,1263,6176
"207","Schleicher",2011,"Number",228,99,1089,3472
"208","Scurry",2011,"Number",960,463,4246,16983
"209","Shackelford",2011,"Number",165,96,810,3383
"210","Shelby",2011,"Number",2149,1037,6731,25787
"211","Sherman",2011,"Number",146,73,888,3067
"212","Smith",2011,"Number",12666,8126,54503,213578
"213","Somervell",2011,"Number",376,344,2177,8618
"214","Starr",2011,"Number",9643,4334,20654,61804
"215","Stephens",2011,"Number",659,360,2260,9627
"216","Sterling",2011,"Number",52,32,274,1158
"217","Stonewall",2011,"Number",83,41,326,1475
"218","Sutton",2011,"Number",208,132,1100,4151
"219","Swisher",2011,"Number",619,234,2044,7860
"220","Tarrant",2011,"Number",121288,73065,514770,1848382
"221","Taylor",2011,"Number",6770,4324,32502,132380
"222","Terrell",2011,"Number",51,35,210,983
"223","Terry",2011,"Number",1077,440,3304,12746
"224","Texas",2011,"Number",1825007,986979,6952177,25674681
"225","Throckmorton",2011,"Number",88,59,345,1623
"226","Titus",2011,"Number",2578,1135,9877,32680
"227","Tom Green",2011,"Number",6571,3462,26383,111001
"228","Travis",2011,"Number",60565,38150,252478,1049785
"229","Trinity",2011,"Number",1036,540,3001,14667
"230","Tyler",2011,"Number",1225,978,4286,21882
"231","Upshur",2011,"Number",2375,1480,9734,39851
"232","Upton",2011,"Number",205,87,915,3366
"233","Uvalde",2011,"Number",2905,1089,7543,26466
"234","Val Verde",2011,"Number",4599,1895,14629,49216
"235","Van Zandt",2011,"Number",3309,1927,12509,52814
"236","Victoria",2011,"Number",6657,2999,23109,87393
"237","Walker",2011,"Number",3050,2173,11329,68220
"238","Waller",2011,"Number",2818,1651,10772,43886
"239","Ward",2011,"Number",684,329,2914,10804
"240","Washington",2011,"Number",1586,1051,7447,33999
"241","Webb",2011,"Number",38893,8111,90022,259539
"242","Wharton",2011,"Number",2940,1792,10947,41293
"243","Wheeler",2011,"Number",291,141,1359,5471
"244","Wichita",2011,"Number",7315,4535,30813,131595
"245","Wilbarger",2011,"Number",914,443,3375,13506
"246","Willacy",2011,"Number",2502,1351,5821,22191
"247","Williamson",2011,"Number",12989,15492,125229,440932
"248","Wilson",2011,"Number",2004,1420,11448,44538
"249","Winkler",2011,"Number",457,219,2073,7139
"250","Wise",2011,"Number",2560,2064,15493,60379
"251","Wood",2011,"Number",2270,1494,8505,42141
"252","Yoakum",2011,"Number",463,215,2463,7947
"253","Young",2011,"Number",1141,624,4451,18633
"254","Zapata",2011,"Number",2243,538,4831,14245
"255","Zavala",2011,"Number",1712,653,3621,11794
